baseline,corrupted_baseline,requested_edges,edges,faithfulness
-0.10626220703125,0.040985107421875,0,0,0.047210693359375
-0.10626220703125,0.040985107421875,97,70,-0.07427978515625
-0.10626220703125,0.040985107421875,194,134,-0.00347137451171875
-0.10626220703125,0.040985107421875,203,142,0.00902557373046875
-0.10626220703125,0.040985107421875,212,144,-0.0513916015625
-0.10626220703125,0.040985107421875,221,149,-0.0513916015625
-0.10626220703125,0.040985107421875,230,156,-0.053466796875
-0.10626220703125,0.040985107421875,239,162,-0.04583740234375
-0.10626220703125,0.040985107421875,248,166,-0.054168701171875
-0.10626220703125,0.040985107421875,257,171,-0.054168701171875
-0.10626220703125,0.040985107421875,266,174,-0.06317138671875
-0.10626220703125,0.040985107421875,275,181,-0.1312255859375
-0.10626220703125,0.040985107421875,284,185,-0.11456298828125
-0.10626220703125,0.040985107421875,291,189,-0.10345458984375
